,Text,Predicted_SDGs,Top_Keywords_for_SDG 16,Top_Keywords_for_SDG 17,Top_Keywords_for_SDG 3,Top_Keywords_for_SDG 15,Top_Keywords_for_SDG 8,Top_Keywords_for_SDG 11,Top_Keywords_for_SDG 2,Top_Keywords_for_SDG 4,Top_Keywords_for_SDG 1,Top_Keywords_for_SDG 6,Top_Keywords_for_SDG 5,Top_Keywords_for_SDG 12,Top_Keywords_for_SDG 14,Top_Keywords_for_SDG 10,Top_Keywords_for_SDG 9,Top_Keywords_for_SDG 7,Top_Keywords_for_SDG 13
10,"Development of non-native bio-nanoparticles with enhanced immunogenicity and platform capability. The Project will involve maximising the expression of recombinant proteins to be used as either vaccines or therapeutic proteins.
This will use da variety of platforms, including yeast and mammalian expression. In addition, the application of nanoparticles for 
the use as novel vaccines will be studied.",SDG 3,,,"antipoverty_vaccines, conjugate_vaccines, global_alliance_for_vaccines_and_immunization, new_vaccines, pneumococcal_conjugate_vaccines",,,,,,,,,,,,,,
11,"Evaluation Supported Decision Making (SDM) - Link and Learn Pilot Ensure that people with disability are given opportunities to make decisions and supported to do so, and exercise legal capacity to the greatest extent possible. Develop an evaluation methodology for the Link and Learn Pilot, which includes feedback from the project advisory group and has research ethics approval.","SDG 3, SDG 10, SDG 16","ethics, un_maternal_mortality_estimation_inter-agency_group_(un_mmeig), world_summit_for_sustainable_development, world_water_day, union_for_international_cancer_control_-_asia_regional_office",,"medical_ethics, health-related_millennium_development_goals, drug_development, early_childhood_core_and_development, disability-adjusted_life_years",,,,,,,,,,,"advisory_committee, total_official_support_for_development, development_impact, human_development_report, development_indicators",,,
12,"Housing models for precariously housed older Australians (Administered by University of South Australia). This project will identify appropriate housing models for precariously housed pre-retirement and retired households informed by
developers, providers, planners and architects.

This project will map the size and location of the cohorts of retired/retiring renters with low-incomes in Australia, using census data and data on current and future pensioner income and wealth, with population projections to 2027. It will produce an online tool geographically locating the ‘at risk’ population.
","SDG 3, SDG 5, SDG 11",,,"wealth, treatment_outcomes, hiv_risk_behaviour, who_framework_convention_on_tobacco_control_(who_fctc), hiv/aids_prevention_and_treatment",,,"households, low-income_households, rural_households, integrated_solid_waste_management, municipal_solid_waste_management",,,,,"female-headed_households, male-headed_households, female_labour_market_participation, feminist_analysis, abortion_law_and_policy",,,,,,
13,"Smart wearable patch to resolve chronic dry eye disease nthalmic Pty Ltd (‘nthalmic’) and RMIT University’s Functional Materials and Microsystems
Research Group (‘RMIT’) intend to co-develop miniaturised wearable smart eye patches to tackle
chronic dry eye disease.

Additional collaborators may be involved at a different stage of this project, who may be invited to
bring in clinical expertise and prospective end-user feedback.

Aligned to nthalmic’s MeiboleyesTM intent to solve and support the management of chronic dry
eye disease, a smart wearable electronic patch with an appropriate form factor and fidelity in the
shape of a human eye lid to create desired levels of heat and massaging effects will be
developed.

The Project involves design development and fabrication of eyelid-shaped prototypes that produce
desired temperature changes as well as massaging effects, through excited vibrations of
appropriate electroactive components. The project is scoped to be run into two stages: (i) alpha
prototype focussing on heat-only elements that can be controlled via smart closed loop system;
and (ii) beta prototype with both heat and massaging components.

nthalmic may agree with RMIT to move the second stage of the project into the previously agreed
longer-term engagement through another research program (the ARC Research Hub for Sensors
for Connected Health)",,,,,,,,,,,,,,,,,,
14,"Non-destructive detection and analysis in AM metal (PhD candidate Sana Awan) The project involves fundamental research on x-ray quantitative 3d modelling relevant to additive manufacturing contexts. The work will be conducted in conjunction with the CSIRO additive manufacturing team in Clayton at the CSIRO LAB 22 facility.
The project falls under an existing agreement which sets the framework for the contract which is located at CON/2017/01210. The contract was subsequently extended in time under variation agreement CON/2017/03400.
New project by Sana Awan:  The Student will undertake the following: (1) Literature review in metal additive manufacturing, X-ray CT imaging, data-constrained modelling (DCM) analysis (2) AM metal sample preparation and lab characterization (3) X-ray image acquisition, CT slice reconstruction, artefact pre- and post-processing (4) DCM analysis for 3D microstructure and porosity (5) Preparation for data archiving and publication (6) Preparation of internal report and peer-reviewed publications. Outcomes:
Publications in peer reviewed journals and a PhD thesis; DAP data sets.",SDG 9,,,,,,,,,,,,,,,"haiti_reconstruction, quality_infrastructure, infrastructure_decision_making, sustainable_business_model, corporate_sustainability",,
15,"Playable City Melbourne A ten-day program of public events and playable city installations during Melbourne International
Games Week in October 2021.
Playable City Melbourne will bring the Watershed method to the city to co-create and remake works
that connect music, games and fashion with public space. Melbourne’s urban play community will
explore other ways of being in public space, First Peoples connection to place, and more-than-human
infrastructure.",SDG 4,,,,,,,,"educational_games, education_for_sustainable_development, international_development_education, sustainable_development_education, education_and_policy",,,,,,,,,
16,Automating the smart home: an investigation of automated cooling practices The study will produce important new knowledge about how to study and understand the effects of ambient and automated technologies in everyday life and their potential impact on energy consumption.,"SDG 2, SDG 3, SDG 6, SDG 7, SDG 9, SDG 11, SDG 12, SDG 16","authoritative_knowledge, energy_policies, energy_governance, energy_justice, water_policy",,"newborn_practices, home_birth, new_contraceptive_technologies, liquor_consumption, fatigue_life",,,"home_gardening, population-based_study, knowledge_societies, human_energy, household_energy","energy_poor, protein_energy_malnutrition_(pem), energy_poverty, health_and_social_policy, health_and_nutrition_policy",,,"sanitation_technologies, hygiene_practices, colonial_water_policy, water_infrastructure_planning, integrated_water_resources_management",,"sustainable_practices, clothing_consumption, consumption, consumption_pattern, sustainable_consumption",,,"technologies, low_cost_technologies, life_cycles, life_expectancy, life_cycle_thinking","clean_energy, energy, energy_intensities, energy_intensity, energy_renovation",
17,"Modular Multiscale Modelling for Metal Additive layer Manufacturing (M4AM) (Project leader RHP) In M4AM, a novel, scale-bridging and multi-physical numerical scheme for the simulation of wire arc additive manufacturing processes will be implemented. The simulations will be systematically verified over the entire industrial process chain up to the lifetime evaluation for additive manufactured components. The project will create a benchmark for holistic numerical simulation of Additive Manufacturing, including microstructure development, residual stresses/strains and defects, especially for a process to realize large metallic structures (>0,5 meter in size). The project aims to combine the prediction of material properties using simulations with the experimental results from investigations of mechanical and microstructural analysis. Within the project a target is to establish a research cooperation with the Australian partner RMIT and following to this business relationship with Australian companies.",,,,,,,,,,,,,,,,,,
18,Innovation in methods and ethics: Digital ethnography and vulnerable communities Innovation in methods and ethics: Digital ethnography and vulnerable communities,"SDG 3, SDG 5, SDG 11, SDG 16","ethics, health_policy_and_systems_research, health_policy_analysis, legal_analysis, policy-led_multi-criteria_analysis",,"medical_ethics, health_systems_research, quality_improvement_and_health_systems_strengthening, health_systems_challenges, national_health_research_systems",,,"ethnography, communities, developing_communities, gated_communities, indigenous_and_local_communities",,,,,"andean_communities, feminist_analysis, gender_and_development, women_and_development, women_in_development",,,,,,
19,Does innovation by small firms promote financial inclusion in Vietnam? (Administered by RMIT Vietnam) Does innovation by small firms promote financial inclusion in Vietnam?,"SDG 9, SDG 10",,,,,,,,,,,,,,"financial_inclusion, political_inclusion, development_impact, development_finance, development","inclusive_innovation, innovation, responsible_digital_innovation, responsible_innovation, reverse_innovation",,
20,Research and Evaluation of DBT Training model for Aboriginal youth using VACCA's services Evaluation research project that analyses the current Dialetical Behavior Therapy Model and how it would work if implemented at VACCA. The work will produce a final research report that will be presented to VACCA,"SDG 3, SDG 6, SDG 7, SDG 8, SDG 9, SDG 11, SDG 16","maternity_services, boundary_work, responsible_research_and_innovation, health_research_institutions, governance_of_research_for_health",,"meikirch_model, biomedical_research, clinical_research, malaria_research, basic_services",,"financial_model, decent_work, work, organizational_capacity_development, curriculum_development","model_villages, collective_household_model, urban_development_plan, language_in_development, urban_planning_and_development",,,,"urban_services, basic_social_services, water_infrastructure_planning, aquapot_project, water_infrastructure",,,,,"commercial_online_services, sustainable_business_model, internet_services, clean_development_mechanism_(cdm), market_performance","biopsychosocial_model, leap_model, energy_development, material_and_energy_use, energy_issues",
21,"Detecting, preventing and responding to image-based abuse This project aims to investigate the efficacy of digital tools and interventions to detect, prevent and respond to image-based abuse (the non-consensual creation or distribution of intimate images). Through a digital ethnography, victim and stakeholder interviews, online surveys, and an AI chatbot, the project expects to generate evidence and theory on both image-based abuse and internet governance. The expected outcomes include: increased understanding of the responsibility of digital platforms and the drivers of image-based abuse; improved platform and service responses; enhanced industry and scholarly collaborations; and harm reduction. Expected benefits include improved laws, polices and practices to tackle image-based abuse.","SDG 11, SDG 16","disrespect_and_abuse, laws, world_water_day, world_water_forums, world_summit_for_sustainable_development",,,,,"ethnography, model_villages, household-centred_approach, collective_household_model, paying_for_performance_in_developing",,,,,,,,,,,
22,'Seeing the good from the trees': remotely sensing the urban forest This project will solve this by developing a new model of urban forest ecosystem services that uses remotely sensed three dimensional data to map canopy cover.,"SDG 2, SDG 3, SDG 6, SDG 7, SDG 8, SDG 9, SDG 11, SDG 14, SDG 15, SDG 16","maternity_services, oregon_biodiversity_project, farm_accountancy_data_network, quality_of_mortality_data, responsible_research_and_innovation",,"meikirch_model, basic_services, free_maternal_services, hiv/aids_services, youth-friendly_services","atlantic_forest_restoration_pact, forest, forest_residue, forest_valuation, biodiversity_research_network","financial_model, organizational_capacity_development, curriculum_development, place_marketing_development, financial_development","model_villages, millennium_village_project, millennium_villages_project, collective_household_model, urban_planning_and_development","hunger_data, development_aid, poverty_analysis, rural_development, development_food",,,"urban_services, aquapot_project, basic_social_services, colonial_water_policy, integrated_water_resources_management",,,"rainfall_data, coastal_ecosystem, local_groundwater_balance_model, melamchi_water_supply_project, groundwater_development",,"commercial_online_services, global_data_infrastructure, sustainable_business_model, internet_services, life_cycle_analysis","biopsychosocial_model, leap_model, energy_development, material_and_energy_use, biofuel_policy",
23,"Aus. Std. Diesel from mixed plastics: Maximising recovery from waste This project closes the missing link to economically produce a drop-in Aus. Std. Diesel from mixed waste plastic. NOR recently designed a demonstration scale, crude oil generation and refinery system for production of Aus. Std. Diesel from discrete waste (tyres, single plastic etc.), with the intention to begin construction in 2020. This system, generating ~20 million litres (ML) per annum (p.a.) of fuels, is the final stepping stone to a robust commercial system able to generate and process oils from mixed waste streams. A diesel-from-discrete-waste system in Australia can produce at maximum 200ML p.a. of Aus. Std. Diesel. A system for processing mixed waste could produce approximately 20 gigalitres (GL) p.a. (a 100-fold increase) of Aus. Std. Diesel.
SYNBIO, in partnership with RMIT, has identified the key technology missing to produce Aus. Std. Diesel from mixed waste, namely catalytic ring opening of poly-cyclic organic molecules. ",,,,,,,,,,,,,,,,,,
24,"Swarming UAV Flight in Turbulance (PhD Candidate: Finn Sutherland) The project described in this proposal will develop, integrate, and demonstrate innovative sensor and navigation technologies to enable the safe, effective use of cooperative small unmanned aircraft vehicles (UAVs) in complex urban environments. The outcomes of the project will help to enable missions in urban environments, such as 
• emergency response (ER)
• intelligence, surveillance, and reconnaissance (ISR)
• humanitarian assistance and disaster relief (HADR).",,,,,,,,,,,,,,,,,,
25,Recycling cigarette butts in asphalt concrete The key objective of the Research Services is to develop a sustainable technique that will enable the safe and economical use of cigarette butts in asphalt concrete.,SDG 3,,,"cigarette_smoke, condom_use, contraceptive_use, drug_use_and_trafficking, substance_use_disorders",,,,,,,,,,,,,,
26,WHS Literature Review ? Young and Older Construction Workers Produce a literature review document that will inform the development of the icare Foundation?s future initiatives focused on the prevention of work-related injury and illness to construction workers in high-risk groups.,"SDG 2, SDG 3, SDG 5, SDG 16","ngo_initiatives, sendai_framework_for_disaster_risk_reduction_2015-2030, policy_support_tools, development_policy_framework, world_water_day",,"community-based_prevention, community-health_workers, prevention, prevention_of_latent_tb, severe_mental_illness",,,,"vulnerable_groups, health_and_nutrition_policy, rural_development, health_and_social_policy, food-based_approaches",,,,"womens_groups, gender_and_development, women_and_development, women_in_development, abortion_law_and_policy",,,,,,
27,"Long Term Intervention Monitoring Project: Goulburn River
Selected Area - Stage 2 (Administered by University of Melbourne) UoM Commercial and the Client have entered into the Head Contract, an agreement to provide monitoring and evaluation of the ecological outcomes of Commonwealth environmental watering in the lower Goulburn River. The Head Contract will run for a period of five (5) years,
from 01 July 2014 until 31 October 2019.",,,,,,,,,,,,,,,,,,
28,"Quantum Diamond-based Geophysical Sensor Technology Mineral security is a pressing and urgent concern for developed nations. Recent geopolitical events, such as embargoes on the export of rare earth elements [1] and disruption due to political instability [2] mean that the identification and exploitation of new high‐grade ore bodies is vital for economic security and development in both Australia and Japan. Techniques of geophysical sensing, especially magnetometry, have proven especially useful, although traditional approaches are limited in terms of size, weight and power (SWAP), which in turn limits their use.","SDG 5, SDG 11, SDG 16, SDG 17","governing_bodies, world_water_day, quality_regulation, world_water_forums, intimate_partner_violence","rio_earth_summit, world_commission_for_water_in_the_21(st)_century, sustainable_development_goals_-_sdgs, product_development_partnerships, post-2015_development_framework",,,,"rural_exploitation, household_water_treatment, household_water_supply, domestic_water_supply, domestic_water",,,,,"sexual_exploitation, funding_for_womens_rights, maternal_factors, international_womens_rights_frameworks, violence_against_women",,,,,,
29,"Spatial photosynthesis measurements through remote sensing in modern stone and pome fruit orchards (PhD Candidate - Thomas Fahey) This project will prove that real-time sensors can be deployed in orchards and controlled storage environments to enable stone fruit growers and exporters to meet or exceed market requirements for China and other export markets. 
1. The University will ensure that the Student will provide annual progress reports on the report template provided by Food Agility as well as a final report summarising significant findings.
2. At the invitation of Food Agility and where available, the University will support the Student’s participation in relevant quarterly showcases conducted by project teams in the Food Agility project pipeline.","SDG 2, SDG 10",,,,,,,"fruit, poverty_analysis, dietary_quality, hunger_data, food-based_approaches",,,,,,,"anthropometric_measurements, world_countries, adverse_outcomes, developing_world, third_world",,,
30,"More than just a ?chilly climate??: Understanding and preventing sexual harm in STEMM and higher education Taking STEMM as a focus, this proposal seeks funding to explore these five key issues of sexual abuse and harm. The funding will be used to organise and convene a one-day roundtable to be hosted at RMIT University in October 2019 and to engage a Research Assistant to assist with a Qualtrics survey, literature review and issues paper. The aim of the workshop will be to share knowledge among a community of experts and thereby build future partnerships with other academics, institutions, government and industry. The workshop will focus on: (1) the prevalence and impacts of sexual harm within the STEMM disciplines (including examining intersectionality on the grounds of gender, race, sexuality, age, and disability); (2) the efficacy of university interventions for addressing under-reporting, inappropriate responses to disclosures of sexual harm, and education, training, and awareness, including the applicability and effectiveness of respectful relationships education in these fields; (3) the barriers to both entry and retention in STEMM disciplines and the STEMM workforce; and (4) the implications for STEMM, including the potential loss of creativity and innovation. The purpose of the work is to contribute to addressing these issues and initiating cultural change within these domains. ","SDG 2, SDG 5, SDG 11",,,,,,"rural_retention, climate_policy_analysis_models, urban_planning_and_development, cities_and_sustainable_development, health_and_demographic_surveillance_system","under-nutrition_prevalence, poverty_reduction_strategy, poverty_reduction_strategy_papers, health_and_nutrition_policy, pro-poor_interventions",,,,"girls_retention, womens_health_issues, gender_and_curriculum, gender_and_development, gender_roles",,,,,,
31,"Aboriginal Digital Story Trail (administered by Storyscape) The vision of the Aboriginal Digital story trail is to develop a mobile app that provides an innovative Augmented Reality experience, expressed entirely through sound. Wherever you walk, you will be able to access stories told by Aboriginal Elders, travelling inside historic and modern soundscapes in a true virtual world, 24 hours a day. Location based mobile technology will allow you to navigate the landscape through sound; a barking dog or the sound of distant singing (becoming louder as you move closer) suggesting the location of particular moments in history within the landscape of contemporary Melbourne.",,,,,,,,,,,,,,,,,,
32,"Microfluidic platforms for studying foam cell formation in vessels This project aims to create technology platforms, utilising microfluidics and machine learning, to study thefundamental biological processes underlying the accumulation of immune cells underneath the vessel wall, whichis known as foam cell formation. This project expects to deliver technologies, which facilitate mimicking andanalysis of the complex dynamics of the human vessels in a more accurate, time- and cost-effective manner. Theexpected outcome will be cutting-edge tools and techniques to better understand the fundamental biologicalmechanisms driving foam cell formation. This should facilitate the development of future cardiovascular drugdiscovery technologies, which would benefit the biotechnology and pharmaceutical industries.",,,,,,,,,,,,,,,,,,
33,COVID-19 and Disadvantaged Young People’s Education and Employment Aspirations: A Longitudinal Study of Young People’s Transitions in Geelong To provide Geelong stakeholders with a strong evidence base over 3 years to co-design innovative interventions to foster the education and employment aspirations of young people from disadvantaged backgrounds in Geelong in the wake of a COVID-19 youth labour market crisis.,"SDG 3, SDG 8, SDG 16","political_and_fiscal_crisis, sendai_framework_for_disaster_risk_reduction_2015-2030, conservation_opportunity_areas, intimate_partner_violence, union_for_international_cancer_control_-_asia_regional_office",,"youth, youth_attitudes, youth_participation, global_youth_development, child_development_intervention",,"financial_crisis, youth_employment, financial_and_economic_crisis, youth_unemployment, financial_model",,,,,,,,,,,,
34,"Gendered STEAM (Science, Technology, Engineering, the Arts and Math) The purpose of this Agreement is for the Research Service Provider to provide the services of a Regional Adviser: Asia to Carleton University for the Program. These services will be provided alongside fellow experts and advisors, and you will provide support to the global program implementation team. To do so, we understand that the duties of a regional advisor throughout the duration of the program
should include the following (hereinafter, ?Sites?).",,,,,,,,,,,,,,,,,,
35,"Assessing the national feral cat control effort and response to feral cat control programs To capture the overall effort and get the most complete picture of feral cat management, including an understanding of the geographical scale and management trends, we need to build on previous monitoring and reporting methods such as a stratified survey to uncover effort in groups such as private landholders, recreational shooters and community groups. The data obtained will be used to communicate progress against the year 3 feral cat targets in the Strategy.","SDG 2, SDG 3, SDG 4, SDG 5, SDG 16, SDG 17","sanitary_survey, federal_programs, immunization_programs, nutrition_programs, global_ict_programs","progress_of_mdg4, progress_of_mdg5, progress_towards_millennium, aichi_targets, global_targets","parental_monitoring, family_planning_programs, neonatal_health_programs, disability-adjusted_life_years, health-related_millennium_development_goals",,,,"vulnerable_groups, hunger_targets, development_aid, rural_development, food-based_approaches","educational_targets, household_education_strategies, learning-based_approach, education_for_sustainable_development, international_development_education",,,"womens_groups, safe_motherhood_programs, gender_and_development, women_and_development, women_in_development",,,,,,
36,"Reducing modern slavery with new information and enforcement technologies Forced and bonded labour, as well as poverty wages, have been uncovered in Australian meat and fashion manufacturing supply chains. Eight government inquiries since 2016 identified new business models entailing complex supply chains as a barrier to effective enforcement of labour standards. The application of information systems like blockchain has not yet been explored to aid enforcement efforts. This innovative research adopts a novel interdisciplinary approach, combining labour law, regulatory studies, information systems to evaluate information technologies and design tools that are feasible and readily useable. This promises to increase the capacity of regulators to detect and prevent modern slavery.","SDG 1, SDG 2, SDG 3, SDG 6, SDG 8",,,"chronic_poverty, disability-adjusted_life_years, health_services_research, drug_development, access_to_health_services",,"slavery, labour_productivity, labour_market, money_metric_poverty, financial_model",,"slavery, poverty_alleviation, poverty_eradication, medical_poverty_trap, multidimensional_poverty",,"absolute_poverty, educational_poverty, eradicate_poverty, extreme_poverty, global_poverty","sanitation_chains, water_poverty, colonial_water_policy, poor_quality_water_use, water_infrastructure_planning",,,,,,,
37,Housing Production Delays This research project will look into the slippage data recorded in the prefabricated timber truss production and house building production at micro level to explore the extent of delay and their potential correlation with State and National trends.,"SDG 3, SDG 11, SDG 15",,,"charcoal_production, health_systems_challenges, health_systems_research, health_systems_guidance, quality_improvement_and_health_systems_strengthening","net_cereal_production, crop_production, biodiversity_trends, land_productivity_trends, biodiversity_research_network",,"building, consensus_building, house_preference, building_codes, building_performance_simulation",,,,,,,,,,,
