Text
"Flood risk assessment of metro systems in a subsiding environment using the interval FAHP-FCA approach China; Dewatering; Confined Aquifer Metro systems are vulnerable to flooding during rainstorms and this situation worsens when a subsiding environment prevails. This study adopts the interval fuzzy analytic hierarchy process (FAHP) incorporated with fuzzy clustering analysis (FCA) to assess the flood risk of metro systems in subsiding environments, considering both the regional subsidence of the ground and the longitudinal settlement along metro lines as assessment factors. Shanghai metro system is analysed as an example by using the proposed method (the FAHPâ€“FCA approach) together with the geographical information system (GIS). The assessment results show that more than 30% of metro lines in Shanghai are at a high risk of flooding, and the high-risk regions of metro lines are located in urban centres. The ratio of high-risk regions identified by the FAHPâ€“FCA approach exceeds that obtained using the existing FAHP approach, which indicates that the FCA-FAHP approach can capture high-risk metro systems in Shanghai. Moreover, the comparison also shows that subsiding environments exacerbate the flood risk of metro systems. It is proposed that, to mitigate the risk of flooding, subsidence environments should be considered in more detail."
"The Effect of Market Isolation on Competitive Behavior in Retail Petrol Markets Price Dynamics; Price Dispersion; Asymmetric Pricing Regarding the importance of energy for societies, this study examines the characteristics of the petrol price cycle in Perth, Australia. Given the micro-and macro-economic changes, the studyâ€™s purpose was to determine whether the Edgeworth features of the cycle are robust and resilient to market changes. The contribution is to extend previous studies, evaluate Edgeworthâ€™s consistency, and capture several episodes of economic activity that have been unexplored. The findings showed a frequent and asymmetric weekly cycle that is characterized by decreasing prices over six consecutive days, followed by a large price jump in one day. The average price rise in the relenting phase for major stations was 14.10 cents per liter (CPL) and 13.14 CPL for independents. For the major and independents, the daily average price drops in the undercutting phase were 2.25 and 1.92 CPL, respectively. Despite the market changes, Edgeworthâ€™s cycle characteristics, cycle duration, and the stationsâ€™ role have remained stable during the last 15 years, but peak and trough days have changed. The study is crucial as it provides insights into the robustness of price cycles and competition during significant downturns and prolonged periods of growth. This analysis is critical from a regulatory, policy, and consumer welfare perspective. Furthermore, this paper investigates future petrol consumption in light of renewable energy developments."
"Leveraging endogenous climate resilience: urban adaptation in Pacific Small Island Developing States Climate Change Adaptation; Urban Climate; Resilience Pacific Small Island Developing States are often referred to as the â€œfrontlineâ€ of climate change, facing an array of worsening climate-related shocks and stressors. However, despite their underlying exposure to climate change impacts, the role of Pacific Island cities as both an avenue for adaptation and sites of climate vulnerability is often overlooked. This paper reflects on two ongoing participatory action research projects conducted by UN-Habitat and research partners from Australian universities in Honiara, Solomon Islands, and Port Vila, Vanuatu. Findings from community consultations across 16 communities in these settings demonstrate the critical role of endogenous modes of resilience, as well as the strong correlation between these spaces and sub-city climate vulnerability. Cross-scale integration with climate resilience planning processes is then used to examine points of conflict between stakeholder interpretations of core functions within socioecological systems, demonstrating the importance of considering values and conflict within urban climate adaptation."
"Supply chain communication and cultural compatibility: performance implications in the global manufacturing industry Business Performance; Manufacturing Strategy; Competitive Priorities Purpose: Research has extensively focused on the cultural differences in supply chain collaboration while neglecting the importance of cultural similarities and compatible goals among supply chain members. With the rise of global supply chain network, the choice of supply chain orientation is critical. This study argues that performance differences between these configurations highlight managerial implications for sustainable development. Design/methodology/approach: Drawing from uncertainty reduction and cognitive social capital theories, this study developed a taxonomy of manufacturing firms based on process alignment between cultural compatibility and supply chain communication. The empirical data used in this study were drawn from the Global Manufacturing Research Group (GMRG) survey project, with data collected from 680 manufacturing companies, across various industry sectors and countries. Findings: There appeared to be consistent three major configurations: the Proactive, the Initiative and the Reactive. Manufacturers distanced themselves based mainly on communication with customers on events and proprietary information. Communication-cultural compatibility taxonomies influence differently on operations and financial performance. The Initiative, who excelled in communication practices gained significant improvement in efficiency and delivery measures. While Reactive lagged, Proactive aligned in both capabilities to experience higher payoffs in operational and financial measures. The findings offer a step-by-step approach where manufacturers intensify communication with partners for better efficiency and delivery measures, then align cultural practices to obtain financial, quality and innovation performance. Research limitations/implications: It will be fruitful for future research to examine the evolution of longitudinally. A comparison between developed and developing economies will be of interest. Practical implications: The findings provide a step-by-step decision-making process for supply chain communication and offer guidance especially for global supply chain managers. Originality/value: This study adds greater comprehensiveness and richness to the information exchange literature on performance by process aligning to enhance cultural compatibility."
"A spatial and temporal analysis of forest dynamics using Landsat time-series Landsat; Land Cover; Remote Sensing Understanding forest dynamics at the landscape scale is critical given the demands of sustainable forest management and climate change mitigation. This study proposes an approach for holistically characterising and analysing forest dynamics across large areas and long-time periods using information derived from Landsat time-series. To achieve this, we first developed a two-phase classification process to predictively map (1) disturbance and recovery levels and (2) disturbance causal agents for multiple detected disturbance events. The model explanatory data included a range of trajectory-based metrics derived from Landsat time-series, while model training and validation data were derived from a human-interpreted reference dataset. While previous studies have often described forest dynamics using some specific spectral change metrics, we demonstrated an ensemble approach to map disturbance and recovery trends (by treating them as a single metric) and to characterise not only abruptly occurring change events (e.g., clear-fell logging and wildfire) but also events of low severity (e.g., prescribed burning and selective logging). In addition, we adopted a space-time data cube concept to simultaneously report both newly detected disturbance events (detected disturbances) as well as events that have previously occurred but are ongoing (ongoing disturbances). This ongoing element of forest dynamics is often under-reported. The method was tested over 3.7 million ha of public land sclerophyll forests, where multiple disturbance events have occurred over the last 30 years (1987â€“2016). Our models of disturbance and recovery levels obtained overall accuracies of 78.6% and 72.3% for primary and secondary disturbance events, respectively. The overall accuracies for the models of disturbance causal agents were 80.7% and 73.0%, respectively. The data cube reported an average annual disturbance rate of 4.2% per year. This was dominated by newly detected disturbance (2.7% per year) as distinct from ongoing disturbance that was, however, considerable (1.5% per year). Our approach presented herein can improve the understanding of forest dynamics over long time periods and large areas and has potential for supporting land managers."
"Dwelling justice: locating settler relations in research and activism on stolen land Social Housing; Tenants; Homelessness There is a general consensus now in Australia that we are in the grip of a severe housing crisis. The characteristics of spiralling housing costs and deepening precarity are unfolding in a context of the systematic managed decline of public housing as a critical social infrastructure, such that the capacity to make and find â€˜homeâ€™ is thinning every day. Yet in a settler-colony, such as Australia, the struggle against housing injustice is set inside an already violent relationship of un-homing that creates the very conditions for others to make home. Reckoning with this monstrous dilemma, of the politics of dwelling justice on stolen land, is the focus of this essay, which springs from our own experience and failure to fully comprehend the ways that our housing research and activism works to reinforce settler colonial logics of dwelling on stolen land."
"At home in the city: Educated women, housing and belonging in port moresby Papua New Guinea; Pacific Islands; Melanesia Historically, Papua NewGuineans of diverse ethnic origins have been seen as belonging in and to their villages, rather than urban areas. Postcolonial administrators constructed urban migrants as temporary and threatening and represented their 'rightful place' as the village. Within this schema, women in particular have been construed as 'matter out of place'. Consequently, if Papua New Guinean men's presence in urban areas was meant to be temporary and contained, Papua New Guinean women were not supposed to be there at all. In this chapter, I challenge the view of Port Moresby, the capital city of Papua New Guinea as a place that is only and always dangerous for women. To do so, I explore how three women are constructing home in thismaligned city.Demonstrating the complexities and contradictions of this denigrated town, I challenge the singularly derogatory themes evident in local and international representations of PortMoresby and affirm the importance of exploring and representing this place from a variety of perspectives. The chapter is situated within a developing body of work that reflects the increasing ethnographic interest in Melanesian urbanity and informed by feminist theories about the relationship between bodies and places."
"Preparation of a Novel Carbon Dot/Polyvinyl Alcohol Composite Film and Its Application in Food Preservation Fluorescence; Nanodots; Carbon Nanoparticles Carbon dots (CDs) were synthesized with the facile hydrothermal method to produce CDs/polyvinyl alcohol (PVA) active food packaging films. The CDs had a diameter ranging from 2.01 to 5.61 nm and were well-dispersed. The effects of different concentrations of CDs on mechanical strength, water resistance, morphology, optical, and thermal performance of the CDs/PVA films were discussed. The incorporation of CDs in the PVA film improved its mechanical properties, water resistance properties, UV blocking properties, and thermal stability and endowed the composite film with antioxidant and antimicrobial properties. The maximum scavenging rates of 2,2-diphenyl-1-picrylhydrazyl and ABTS free radicals by the 0.50% CDs/PVA film were 72.81 and 97.08%, respectively. The inhibition zone diameters of the 0.50% CDs/PVA solution against Staphylococcus aureus (S. aureus), Bacillus subtilis (B. subtilis), and Escherichia coli (E. coli) were 9.52, 8.21, and 9.05 mm, respectively. Using the 0.50% CDs/PVA film as active packaging, the shelf life of banana, jujube, and fried meatballs was observed to be extended significantly. These results demonstrate the viability of the CDs/PVA composite film as a promising active food packaging material."
"Ultrasensitive Label-Free Nucleic-Acid Biosensors Based on Bimodal Waveguide Interferometers Sensor; Polymer Waveguide; Clad Metals The bimodal waveguide (BiMW) biosensor is an innovative common path interferometric sensor based on the evanescent field detection principle. This biosensor allows for the direct detection of virtually any biomolecular interaction in a label-free scheme by using specific biorecognition elements. Due to its inherent ultrasensitivity, it has been employed for the monitoring of relevant nucleic-acid sequences such as mRNA transcripts or microRNAs present at the attomolarâ€“femtomolar concentration level in human samples. The application of the BiMW biosensor to detect these nucleic acids can be a powerful analytical tool for diagnosis and prognosis of complex illnesses, such as cancer, where these biomarkers play a major role. The BiMW sensor is fabricated using standard silicon-based microelectronics technology, which allows its miniaturization and cost-effective production, meeting the requirements of portability and disposability for the development of point-of-care (PoC) sensing platforms. In this chapter, we describe the working principle of the BiMW biosensor as well as its application for the analysis of nucleic acids. Concretely, we show a detailed description of DNA functionalization procedures and the complete analysis of two different RNA biomarkers for cancer diagnosis: (1) the analysis of mRNA transcripts generated by alternative splicing of Fas gene, and (2) the detection of miRNA 181a from urine liquid biopsies, for the early diagnosis of bladder cancer. The biosensing detection is performed by a direct assay in real time, by monitoring the changes in the intensity pattern of the light propagating through the BiMW biosensor, due to the hybridization of the target with the specific DNA probe previously functionalized on the BiMW sensor surface."
"Contingent Effect of Board Gender Diversity on Performance in Emerging Markets: Evidence from the Egyptian Revolution Director; Corporate Governance; Board Independence The 2011 Egyptian revolution was associated with significant political and social upheaval, followed by societal changes and attempts by policymakers to reduce the marginalisation of women and promote their inclusion in the economy. Drawing on this background, the authors compare the effect of board gender diversity before and after the revolution. Results indicate that gender diversity in corporate boards is coupled with improvements in firm performance in the immediate post revolution phase. This evidence provides insights into the contextual factors related to diversity and performance relationship and supporting arguments for regulatory changes to further encourage womenâ€™s representation on boards."
"Higher Education in Times of Instability and Disruption: Rethinking Notions of Values, Value Creation and Instructional Practices in Vietnam and beyond Employability; Competency; Soft Skills The disruptive nature of the COVID-19 pandemic has created a massive shift in instructional practices in higher education across the globe. The impact of this pandemic on education globally has led to a surge in online teaching and the use of various digital technologies and platforms to support instructional practices. However, this world-changing event has foregrounded the limitations of technology in addition to other important indications, particularly as it relates to the notion of value and by extension value creation. Within the context of the Vietnamese higher education ecosystem, what is evident is that a re-evaluation of values is worth considering, in terms of the value of local higher education institutions, in addition to the value creation produced by the same. This article will engage with pertinent implications for the post-COVID realities which offer untold challenges and opportunities in Vietnam and elsewhere. Moreover, the post-COVID realities of late modernity only serve to accentuate the importance of values and value creation in this context as higher education institutions would re-evaluate, rethink, and retool approaches to instructional practices. A focus on questions of value aids in considering the broader conditions and contexts which support some of the fruitful and situated outcomes of higher education which includes human capital development, employment, social mobility and the production of modern social identities."
"Professional development needs of the international work-integrated learning community Placement; Cooperative Education; Employability Many governments are expecting higher education institutions to make strong links between the educational offerings and employability while many employers are demanding graduates with prior workplace or community engagement before entering the workplace. As higher education institutions respond to these challenges, work-integrated learning (WIL) is increasingly seen as a powerful educational approach in developing and empowering work-ready graduates, with many institutions expanding their WIL offerings. With the expansion of WIL, however, comes the need for more staffing to resource the activity. The type of staff vary from practitioners (placement coordinators, field practitioners), teaching staff, researchers, and curricular designers, all of whom require a relevant skills set and knowledge. However, to date, professional development opportunities directly related to WIL have been limited, with most opportunities offered by some national associations providing webinars and workshops. Furthermore, little work has been undertaken to determine the actual professional development needs of WIL staff. Presented here are the findings of an online, international survey of 668 WIL practitioners which explores their perceived professional development needs."
"Uncertainty quantification for space situational awareness and traffic management Helicopter; A-6 Aircraft; Airspace This paper presents a sensor-orientated approach to on-orbit position uncertainty generation and quantification for both ground-based and space-based surveillance applications. A mathematical framework based on the least squares formulation is developed to exploit real-time navigation measurements and tracking observables to provide a sound methodology that supports separation assurance and collision avoidance among Resident Space Objects (RSO). In line with the envisioned Space Situational Awareness (SSA) evolutions, the method aims to represent the navigation and tracking errors in the form of an uncertainty volume that accurately depicts the size, shape, and orientation. Simulation case studies are then conducted to verify under which sensors performance the method meets Gaussian assumptions, with a greater view to the implications that uncertainty has on the cyber-physical architecture evolutions and Cognitive Human-Machine Systems required for Space Situational Awareness and the development of a comprehensive Space Traffic Management framework."
"Template free mild hydrothermal synthesis of core-shell Cu2O(Cu)@CuO visible light photocatalysts for N-acetyl-para-aminophenol degradation Thin Films; Cathodes; Heterojunctions Solar photocatalytic processes are a promising approach to environmental remediation, however their implementation requires improvements in visible light harvesting and conversion and a focus on low cost, Earth abundant materials. Semiconducting copper oxides are promising visible light photocatalysts for solar fuels and wastewater depollution. Here we report the mild, hydrothermal (template-free) synthesis of core-shell Cu2O(Cu)@CuO photocatalytic architectures for the visible light photocatalytic degradation of N-acetyl-para-aminophenol (APAP). Hollow and rattle-like core-shell nanosphere aggregates with diameters between 200 nm and 2.5 Î¼m formed under different synthesis conditions; all comprised an inner Cu2O shell, formed of 10-50 nm nanoparticles, surrounded by a protective corona of CuO nanoparticles. High reductant and structure-directing agent concentrations promoted the formation of a yolk-like Cu2O/Cu core, associated with improved photophysical properties, notably a high oxidation potential and suppressed charge carrier recombination, that correlated with the highest apparent quantum efficiency (8%) and rate of APAP removal (7 Î¼mol g-1 min-1). Trapping experiments demonstrated hydroxyl radicals were the primary active species responsible for APAP oxidation to quinones and short chain carboxylic acids. Rattle-like core-shell Cu2O/Cu@CuO nanospheres exhibited excellent physiochemical stability and recyclability for APAP photocatalytic degradation."
"Understanding the Experiences of Vietnamese Women Leaders: Advancing an Existential Philosophical and Psychological Perspective Vietnam; Intimate Partner Violence; Sexual Health The purpose of this article is to demonstrate the value(s) of existential philosophy and psychology for understanding womenâ€™s lives in a cross-cultural context. It focuses on Vietnamese women and the formation of their self-identity in the process of becoming a leader. Theoretically, we draw on the existential philosophy of Martin Heideggerâ€™s fundamental ontology that emphasizes being, temporality and context (thrownness), Simone de Beauvoirâ€™s account of gender and other pertinent existentialists. To illustrate the value of an existential perspective, we offer an empirical example of a Vietnamese womanâ€™s life-story (who was chosen because she is a leader), interpreting her self-identity as it unfolds over the life span. This approach has the potential to capture an individualsâ€™ diverse and complex modes of being, how they take part in shaping their reality through their situatedness in the world. The value of existentialism lies in its view of self-identity as a process of becoming, as opposed to a fixed and stable entity, providing the means for theorizing the possibilities for female agency, which addresses one of the limitations of the existing research on womenâ€™s leadership in Vietnam. Our analysis of the participantâ€™s life-story offers a case illustration of her encounters with the conditions of existence, which serve as important events, milestones, and turning points that promote a critical reflection on the role that culture, choice, and meaning plays in her life and leadership."
"Image-based sexual abuse: A feminist criminological approach Retaliation; Sexting; Erotica Contemporary digital society and culture can be characterized by an obsession with both the visual artifact and object. This is evidenced through contemporary voyeurism trends, such as reality television, live streaming, amateur pornography, as well as an increasing demand for â€œrealâ€ or â€œauthenticâ€ visual representations. In addition and related to these contemporary social trends, there is a continual shifting public/private divide, an ongoing fixation on bodies, particularly feminized bodies, as well as pre-existing structural inequalities on the basis of gender, race, sexuality, class, age, and ability. This complex interplay of social, cultural, and technological factors provides the contextual backdrop to understanding the prevalence, nature, and perpetration related to the taking and sharing non-consensual nude or sexual imagery - also known as image-based sexual abuse (IBSA). Further to structural factors underlying IBSA, it is also important to address the performativity of gender and subjectivity in understanding this phenomenon and thereby contribute to more informed responses and prevention interventions. In this chapter, we utilize feminist criminological theory for understanding the complex interplay of individual and structural causes of IBSA."
"Long-term effects of sewage sludge–derived biochar on the accumulation and availability of trace elements in a tropical soil Biochar; Soil; Black Carbon Thermal treatment by pyrolysis has been proposed as a sustainable alternative to enable the agricultural use of sewage sludge. The solid product obtained via pyrolysis of sewage sludge is called sewage sludge biochar and presents several advantages for its use as a fertilizer or soil conditioner. However, there are concerns about the accumulation and dynamics of trace elements in soil amended with sewage sludge biochar over the years. This study examined the effect of sewage sludge biochar, under field conditions for 5 yr, on the accumulation and availability of trace elements in a tropical soil. For this, 15 t haâ€“1 of sewage sludge biochar produced at 300 and 500 Â°C were applied in the first two growing seasons. Application was interrupted from the third to the fifth seasons to assess the residual effect of sewage sludge biochar in the soil. The total and available trace element concentrations were determined. The total contents of trace elements showed the following variation in the soil over the 5 yr (mg kgâ€“1): Cd (16.8â€“20.0), Co (19.5â€“21.5), Cr (98.2â€“125.7), Cu (8.1â€“17.1), Mn (62.9â€“85.7), Ni (20.3â€“35.0), Pb (27.0â€“52.4), and Zn (20.3â€“35.8). There was no change in the availability of Cd, Cr, Ni, and Pb over the years. Additionally, a residual effect of the sewage sludge biochar was the increase in availability of trace elements that are considered essential (Cu, Mn, and Zn) and beneficial elements (Co) for plants. Therefore, in relation to contamination by trace elements, the pyrolysis of sewage sludge of domestic origin proved to be an adequate strategy to enable the safe use of this residue in tropical agriculture."
