,Text,Predicted_SDGs,Top_Keywords_for_SDG 3,Top_Keywords_for_SDG 9,Top_Keywords_for_SDG 12,Top_Keywords_for_SDG 15,Top_Keywords_for_SDG 16,Top_Keywords_for_SDG 17,Top_Keywords_for_SDG 2,Top_Keywords_for_SDG 5,Top_Keywords_for_SDG 8,Top_Keywords_for_SDG 10,Top_Keywords_for_SDG 1,Top_Keywords_for_SDG 4,Top_Keywords_for_SDG 11,Top_Keywords_for_SDG 13,Top_Keywords_for_SDG 6,Top_Keywords_for_SDG 14,Top_Keywords_for_SDG 7
10,"Development of non-native bio-nanoparticles with enhanced immunogenicity and platform capability. The Project will involve maximising the expression of recombinant proteins to be used as either vaccines or therapeutic proteins.
This will use da variety of platforms, including yeast and mammalian expression. In addition, the application of nanoparticles for 
the use as novel vaccines will be studied.",SDG 3,"human immunodeficiency virus, equity of access to vaccines, pneumococcal conjugate vaccines, rotavirus vaccine, vaccine preventable diseases",,,,,,,,,,,,,,,,
11,"Evaluation Supported Decision Making (SDM) - Link and Learn Pilot Ensure that people with disability are given opportunities to make decisions and supported to do so, and exercise legal capacity to the greatest extent possible. Develop an evaluation methodology for the Link and Learn Pilot, which includes feedback from the project advisory group and has research ethics approval.","SDG 2, SDG 3, SDG 4, SDG 6, SDG 8, SDG 9, SDG 10, SDG 11, SDG 14, SDG 15, SDG 16, SDG 17","disability evaluation, health system evaluation, health services evaluation, people with disabilities, individuals with disabilities","life cycle assessment, life cycle assessment (lca), life cycle analysis, life cycle analysis (lca), life expectancy",,"land evaluation, degradation analysis, land degradation neutrality, land degradation mitigation, biodiversity research network","united nations disability convention, united nations interagency group for child mortality estimation, quality regulation, participation accountability, organisation for economic co-operation and development development assistance committee (oecd dac)","millennium development goalspovertyeducationequitywomen, sdg evaluation, sustainable development goal indicators, united nations sustainable development goals, millennium development goals attainment","livelihood improvement, primary care community nutrition, poverty reduction strategy papers, poverty alleviation, human capability-based poverty",,"economic evaluations, organizational capacity development, economic evaluation, growth standards, evaluacion economica","human development indicators, human development index, human development report, health outcome inequality, immunization coverage disparities",,"education outcomes, education equality, education measurement, education inequalities, evaluation of educational dynamics","community-based disability workers, neighbourhood sustainability assessment, neighborhood sustainability assessment, climate policy analysis models, environmental degradation",,"approvisionnement en eau, water utility optimisation, integration, sanitation success indicator, sanitation safety planning","marine pollution abatement and ambient water quality improvement, irrigation efficiency, inclusive water poverty index, marine biodiversity conservation, eutrophication potential",
12,"Housing models for precariously housed older Australians (Administered by University of South Australia). This project will identify appropriate housing models for precariously housed pre-retirement and retired households informed by
developers, providers, planners and architects.

This project will map the size and location of the cohorts of retired/retiring renters with low-incomes in Australia, using census data and data on current and future pensioner income and wealth, with population projections to 2027. It will produce an online tool geographically locating the ‘at risk’ population.
","SDG 3, SDG 11, SDG 13, SDG 17","impoverishment risks and reconstruction model, family planning programs, who family planning guidelines, health information systems project, family planning knowledge",,,,,"sustainable development goal indicators, sustainable development planning, millenium development goals, millenium development goals, urban sustainable development goal",,,,,,,"climate policy analysis models, household survey, housing design, millennium villages project, household resilience","climate model, regional climate models, climate vulnerability index, climate resilient urban development, climate resilience",,,
13,"Smart wearable patch to resolve chronic dry eye disease nthalmic Pty Ltd (‘nthalmic’) and RMIT University’s Functional Materials and Microsystems
Research Group (‘RMIT’) intend to co-develop miniaturised wearable smart eye patches to tackle
chronic dry eye disease.

Additional collaborators may be involved at a different stage of this project, who may be invited to
bring in clinical expertise and prospective end-user feedback.

Aligned to nthalmic’s MeiboleyesTM intent to solve and support the management of chronic dry
eye disease, a smart wearable electronic patch with an appropriate form factor and fidelity in the
shape of a human eye lid to create desired levels of heat and massaging effects will be
developed.

The Project involves design development and fabrication of eyelid-shaped prototypes that produce
desired temperature changes as well as massaging effects, through excited vibrations of
appropriate electroactive components. The project is scoped to be run into two stages: (i) alpha
prototype focussing on heat-only elements that can be controlled via smart closed loop system;
and (ii) beta prototype with both heat and massaging components.

nthalmic may agree with RMIT to move the second stage of the project into the previously agreed
longer-term engagement through another research program (the ARC Research Hub for Sensors
for Connected Health)","SDG 3, SDG 17","communicable diseases, eye health, vertical disease programming, infections, infectious disease control",,,,,"product development partnerships, millenium development goals, millenium development goals, millenium development goal, united nations millenium development goals",,,,,,,,,,,
14,"Non-destructive detection and analysis in AM metal (PhD candidate Sana Awan) The project involves fundamental research on x-ray quantitative 3d modelling relevant to additive manufacturing contexts. The work will be conducted in conjunction with the CSIRO additive manufacturing team in Clayton at the CSIRO LAB 22 facility.
The project falls under an existing agreement which sets the framework for the contract which is located at CON/2017/01210. The contract was subsequently extended in time under variation agreement CON/2017/03400.
New project by Sana Awan:  The Student will undertake the following: (1) Literature review in metal additive manufacturing, X-ray CT imaging, data-constrained modelling (DCM) analysis (2) AM metal sample preparation and lab characterization (3) X-ray image acquisition, CT slice reconstruction, artefact pre- and post-processing (4) DCM analysis for 3D microstructure and porosity (5) Preparation for data archiving and publication (6) Preparation of internal report and peer-reviewed publications. Outcomes:
Publications in peer reviewed journals and a PhD thesis; DAP data sets.","SDG 3, SDG 4, SDG 8, SDG 12, SDG 15, SDG 16, SDG 17","malaria research, malaria rapid diagnostic tests, clinical research, injury research, treatment coverage",,"material recovery facilities, material recovery, material efficiency, affordable assisted reproduction treatment, material reuse","plant genetic resources treaty, degradation analysis, crop productivity, crop protection, biodiversity research network","health research institutions, policy sciences analytical framework, area of protection, health research systems, boundary work","millennium development goals attainment, product development partnerships, millennium development goals description, millennium developmental goals 2015, millenium development goals",,,"work opportunities, labour productivity, development work, working conditions, health extension workers",,,"doctoral education, academic responsibilities, learning and research, leverage points in academic changes, online training resources",,,,,
15,"Playable City Melbourne A ten-day program of public events and playable city installations during Melbourne International
Games Week in October 2021.
Playable City Melbourne will bring the Watershed method to the city to co-create and remake works
that connect music, games and fashion with public space. Melbourne’s urban play community will
explore other ways of being in public space, First Peoples connection to place, and more-than-human
infrastructure.","SDG 3, SDG 11","quality improvement and health systems strengthening, community health worker programmes, health services accessibility, community health programs, community based health programs",,,,,,,,,,,,"housing programs, community development, developing communities, new urbanization plan, community networks",,,,
16,Automating the smart home: an investigation of automated cooling practices The study will produce important new knowledge about how to study and understand the effects of ambient and automated technologies in everyday life and their potential impact on energy consumption.,"SDG 6, SDG 7, SDG 9, SDG 11, SDG 12, SDG 13, SDG 14, SDG 16",,"life cycle analysis, life cycle thinking, low-cost energy technology, life cycle design, life cycle assessment","household consumption, waste and resource management, sustainable consumption and production, waste management, green consumption",,"climate for evidence informed health system policymaking, land-use planning and control, authoritative knowledge, health policy analysis, health policy and systems research",,,,,,,,"household water treatment, domestic water consumption, household energy requirement, household energy, climate policy analysis models","household air pollution, climate change and water, greenhouse gas emissions, climate impacts, development and climate change","drinking water treatment, water consumption, water and health, integrated water resource management, integrated water resources management","ecosystem water determinants, drinking water safety, marine pollution abatement and ambient water quality improvement, drinking water quality, hydrology & water resources","efficiency of renewable energy, energy consumption, material and energy use, energy use, energy renovation"
17,"Modular Multiscale Modelling for Metal Additive layer Manufacturing (M4AM) (Project leader RHP) In M4AM, a novel, scale-bridging and multi-physical numerical scheme for the simulation of wire arc additive manufacturing processes will be implemented. The simulations will be systematically verified over the entire industrial process chain up to the lifetime evaluation for additive manufactured components. The project will create a benchmark for holistic numerical simulation of Additive Manufacturing, including microstructure development, residual stresses/strains and defects, especially for a process to realize large metallic structures (>0,5 meter in size). The project aims to combine the prediction of material properties using simulations with the experimental results from investigations of mechanical and microstructural analysis. Within the project a target is to establish a research cooperation with the Australian partner RMIT and following to this business relationship with Australian companies.",,,,,,,,,,,,,,,,,,
18,Innovation in methods and ethics: Digital ethnography and vulnerable communities Innovation in methods and ethics: Digital ethnography and vulnerable communities,"SDG 2, SDG 3, SDG 4, SDG 5, SDG 8, SDG 9, SDG 11, SDG 16, SDG 17","neonatology, quality improvement and health systems strengthening, ecological sanitation, genetic diversity, intercultural models of care","technological innovations, technologies, technological innovation, professional organizations, technological capabilities",,,"ethical development, education policy formation, nongovernmental organizations, ethical leadership, organisation for economic co-operation and development","un development strategies, millennium development goalspovertyeducationequitywomen, sustainable development strategies, product development partnerships, the millennium development goals","urban food strategies, agricultural productivity, poverty eradication, rural livelihoods, agriculture and food","andean communities, women and development, workplace equality, womens empowerment, womens empowerment","entrepreneurship, organization, organizations, organizational capacity development, organizational studies",,,"household education strategies, education management information systems, education inequalities, teaching and learning, leadership education","developing communities, gated communities, indigenous and local communities, online community, ethnography",,,,
19,Does innovation by small firms promote financial inclusion in Vietnam? (Administered by RMIT Vietnam) Does innovation by small firms promote financial inclusion in Vietnam?,"SDG 5, SDG 8, SDG 9, SDG 10, SDG 16",,"inclusive innovation, responsible innovation, innovation, sustainable innovation, social innovation",,,"stakeholders participation, responsible research and innovation, non-governmental development organizations, ngo initiatives, stakeholder partnership",,,"social inclusion, women in development, saving mothers and newborns initiative, women and development, gini index","entrepreneurship, economic innovation, enterprises, mitigation banks, green and inclusive economic growth","financial inclusion index, social inclusion, economic inclusion, financial inclusion, politics inclusion",,,,,,,
20,Research and Evaluation of DBT Training model for Aboriginal youth using VACCA's services Evaluation research project that analyses the current Dialetical Behavior Therapy Model and how it would work if implemented at VACCA. The work will produce a final research report that will be presented to VACCA,"SDG 3, SDG 9, SDG 10, SDG 15, SDG 16","health services research, health services research: maternal health services, health services evaluation, health systems research, adolescent health services","life cycle analysis (lca), life cycle analysis, life cycle assessment (lca), life cycle assessment, life cycle costing (lcc)",,"biodiversity research network, forest ecosystem services, atlantic forest restoration pact, forest change detection, kedarnath wildlife sanctuary","health research institutions, health policy and systems research, health research systems, responsible research and innovation, international sustainable chemistry collaborative centre",,,,,"human development report, development assistance committee, equality of access to srh services, human development index, eu-gcc cooperation",,,,,,,
21,"Detecting, preventing and responding to image-based abuse This project aims to investigate the efficacy of digital tools and interventions to detect, prevent and respond to image-based abuse (the non-consensual creation or distribution of intimate images). Through a digital ethnography, victim and stakeholder interviews, online surveys, and an AI chatbot, the project expects to generate evidence and theory on both image-based abuse and internet governance. The expected outcomes include: increased understanding of the responsibility of digital platforms and the drivers of image-based abuse; improved platform and service responses; enhanced industry and scholarly collaborations; and harm reduction. Expected benefits include improved laws, polices and practices to tackle image-based abuse.","SDG 3, SDG 16","substance abuse, alcohol abuse, impoverishment risks and reconstruction model, quality improvement and health systems strengthening, abuse drugs",,,,"disrespect and abuse, organisation for economic co-operation and development development assistance committee (oecd dac), unicefs immunization program, health sector reforms, immunization resource allocation mechanisms",,,,,,,,,,,,
22,'Seeing the good from the trees': remotely sensing the urban forest This project will solve this by developing a new model of urban forest ecosystem services that uses remotely sensed three dimensional data to map canopy cover.,"SDG 3, SDG 4, SDG 9, SDG 11, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","health information systems project, community health worker programmes, quality improvement and health systems strengthening, health services evaluation, health systems research","traditional agroforestry systems, ecological infrastructure, sustainable infrastructure, infrastructure reconstruction, corporate sustainability",,"forest ecosystem services, atlantic forest restoration pact, forest cover loss, forest ecosystems, forest change detection","international forest policy, rainforest alliance, farm accountancy data network, forest policy, forest inventory","sustainable development goal indicators, sustainable development indicators, 2030 sustainable development goals, sustainable development planning, urban sustainable development goal",,,,,,"sustainable development education, teachers professional development, environmental education, education for sustainable development, public health education","climate policy analysis models, vegetable gardens, forests inhabitant, sustainable urban forms, forest community","climate forestatiion, forest and climate change, climate resilient urban development, climate vulnerability index, ecological footprint",,"coastal ecosystem, marine pollution abatement and ambient water quality improvement, agroforestry themes, marine biodiversity conservation, coastal habitat",
23,"Aus. Std. Diesel from mixed plastics: Maximising recovery from waste This project closes the missing link to economically produce a drop-in Aus. Std. Diesel from mixed waste plastic. NOR recently designed a demonstration scale, crude oil generation and refinery system for production of Aus. Std. Diesel from discrete waste (tyres, single plastic etc.), with the intention to begin construction in 2020. This system, generating ~20 million litres (ML) per annum (p.a.) of fuels, is the final stepping stone to a robust commercial system able to generate and process oils from mixed waste streams. A diesel-from-discrete-waste system in Australia can produce at maximum 200ML p.a. of Aus. Std. Diesel. A system for processing mixed waste could produce approximately 20 gigalitres (GL) p.a. (a 100-fold increase) of Aus. Std. Diesel.
SYNBIO, in partnership with RMIT, has identified the key technology missing to produce Aus. Std. Diesel from mixed waste, namely catalytic ring opening of poly-cyclic organic molecules. ",SDG 12,,,"material recycle, material reuse, material recovery facilities, material recovery, separation and recycle",,,,,,,,,,,,,,
24,"Swarming UAV Flight in Turbulance (PhD Candidate: Finn Sutherland) The project described in this proposal will develop, integrate, and demonstrate innovative sensor and navigation technologies to enable the safe, effective use of cooperative small unmanned aircraft vehicles (UAVs) in complex urban environments. The outcomes of the project will help to enable missions in urban environments, such as 
• emergency response (ER)
• intelligence, surveillance, and reconnaissance (ISR)
• humanitarian assistance and disaster relief (HADR).","SDG 3, SDG 6, SDG 9, SDG 14, SDG 16, SDG 17","health information systems project, global immunization and vision strategy, health systems challenges, quality improvement and health systems strengthening, health-related millennium development goals","technological innovations, micro-carrier technology, technological capabilities, technological innovation, low cost technologies",,,"environmental management systems, snv netherlands development organisation, national development planning, european water framework directive, united nations convention on the law of the non-navigational uses of international watercourses","sustainable development objectives, millennium development goals attainment, millenium development goals, millenium development goals, united nations millenium development goals",,,,,,,,,"water infrastructure planning, water safety plans, sanitation technologies, water utility optimisation, improved sanitation coverage","marine pollution abatement and ambient water quality improvement, marine protected area targets, marine protected area networks, marine ecosystems, marine fisheries",
25,Recycling cigarette butts in asphalt concrete The key objective of the Research Services is to develop a sustainable technique that will enable the safe and economical use of cigarette butts in asphalt concrete.,"SDG 3, SDG 7, SDG 12, SDG 15","smoking, cigarette smoke, who framework convention on tobacco control (who fctc), charcoal production, mycobacterium tuberculosis",,"informal recycling, material recycle, recycling, separation and recycle, waste disposal","soil organic matter, natural rubber, phenolic compounds, soil salinisation, biodiesel",,,,,,,,,,,,,"charcoal, coal mine methane, coal mine methane (cmm), woody biomass, coal mine methane policy"
26,WHS Literature Review ? Young and Older Construction Workers Produce a literature review document that will inform the development of the icare Foundation?s future initiatives focused on the prevention of work-related injury and illness to construction workers in high-risk groups.,"SDG 3, SDG 4, SDG 5, SDG 6, SDG 8, SDG 9, SDG 10, SDG 11, SDG 16, SDG 17","health services evaluation, healthcare professional associations, non-governmental organizations health systems strengthening, community health worker programmes, health system evaluation","life cycle analysis, life cycle assessment, construction management, professional organizations, life cycle analysis (lca)",,,"safe delivery care policy, health policy analysis, national disaster risk management agency (nadrima), non-governmental development organizations, organisation for economic co-operation and development development assistance committee (oecd dac)","millennium development goalspovertyeducationequitywomen, sustainable development goal indicators, united nations millenium development goals, sustainable development indicators, post-2015 health development agenda",,"maternal & newborn health road maps, womens and childrens health, womens literacy programmes, womens health issues, women workers","village health workers, health extension workers, financial risk protection, child health surveys, village health worker","human development report, development assistance committee, human development indicators, human development index, official development aid",,"literature review, educational intervention, household education strategies, educational access, vocational education and training","road traffic injuries, community-based disability workers, neighborhood sustainability assessment, neighbourhood sustainability assessment, road traffic injury",,"sanitation safety planning, sanitation success indicator, approvisionnement en eau, sanitation coverage, sanitation ladder",,
27,"Long Term Intervention Monitoring Project: Goulburn River
Selected Area - Stage 2 (Administered by University of Melbourne) UoM Commercial and the Client have entered into the Head Contract, an agreement to provide monitoring and evaluation of the ecological outcomes of Commonwealth environmental watering in the lower Goulburn River. The Head Contract will run for a period of five (5) years,
from 01 July 2014 until 31 October 2019.","SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 8, SDG 9, SDG 10, SDG 11, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","treatment outcomes, disability-adjusted life years, disability adjusted life year, health services evaluation, disability evaluation","life cycle assessment, life cycle assessment (lca), life cycles, life cycle analysis, life expectancy",,"average annual rate of reduction, land evaluation, biodiversity indicators, biodiversity indicator, forest monitoring","stewardship agreements, participation accountability, united nations interagency group for child mortality estimation, conservation opportunity areas, development principles","sustainable development goal indicators, history of millennium development goals, sustainable development indicators, millennium development goal time trend (1990-2015), millennium development goals attainment","livelihood improvement, food security indicators, development aids, dietary guidelines, agricultural productivity","gender indicators, workplace equality, gender equality, gender disparity in schooling, gender inequalities","economic evaluations, economic evaluation, growth standards, evaluacion economica, economic assessment","human development indicators, development indicators, immunization coverage disparities, regional disparities, health outcome inequality",,"education outcomes, learning metrics, education measurement, evaluation of educational dynamics, academic responsibilities","neighbourhood sustainability assessment, neighborhood sustainability assessment, decentralisation, environmental degradation, cities and sustainable development","clients satisfaction, certification, adaptation pathway, climate forestatiion, emissions scenarios","sanitation success indicator, approvisionnement en eau, integration, sanitation chains, improved sanitation coverage","irrigation efficiency, international year of freshwater, marine pollution abatement and ambient water quality improvement, irrigation techniques, crop water productivity",
